University/College Name,School Link,City,State,Name of the state,Control,Region,Accessible to Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Cost of Attendance from year,Types of Aid for international students,Number of international students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Source,Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name and Information,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after Merit Scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate
Knox College,https://www.knox.edu,Galesburg,IL,Illinois,Private,Midwest (Great Lakes),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$57.903,$10.728,$72.631,24-25,Both,193,"99,0%",$44.097,$25.897,CDS24,$8.5m,No,$40.000,IBDP Scholarship,https://www.knox.edu/admission/scholarships,This scholarship is specifically for graduates of the International Baccalaureate Diploma Program. Other Merit Scholarships are awarded automatically based on the admission application.,$17.903,$32.631,Automatic consideration,"71,1%"
Kutztown University of Pennsylvania,https://www.kutztown.edu,Kutztown,PA,Pennsylvania,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",Town: Fringe,5K - 10K,Coeducational,No,Balanced,Very High,On-campus,0-None,$15.964,$11.994,$31.958,24-25,Merit,60,"76,9%",$12.725,$20.717,CDS24,$0.8m,N/A,$13.000,Sesquicentennial Academic Honors Scholarship,https://www.kutztown.edu/admissions/apply/international-admissions/funding-your-education/international-tuition-waiver.html,"The link refers to an International Student Tuition Waiver, which is different. The Honors Scholarship is the top merit award and requires an application to the Honors Program.",$2.964,$18.958,Requires application,"94,8%"
La Roche University,https://www.laroche.edu,Pittsburgh,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$34.052,$13.894,$51.946,24-25,Merit,No data,No data,$12.641,,USN25,,N/A,$15.000,YouAreWelcomeHere Scholarship,https://laroche.edu/LRUscholarships/,"A renewable scholarship for international freshmen. Requires a separate application in addition to the admission application, demonstrating interest and initiative in promoting intercultural learning.",$19.052,$36.946,Automatic consideration,78%
Lafayette College,https://www.lafayette.edu/,easton,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$64.648,$19.866,$88.514,24-25,Both,99,53%,$69.729,$14.735,CDS24,$6.9m,Yes (Need-aware),Full Tuition,Marquis Fellowship and Marquis Scholarship,https://admissions.lafayette.edu/scholarships/,"The Marquis Fellowship is a full-tuition award, and the Marquis Scholarship is a half-tuition award. Both are renewable for up to eight semesters, provided the student maintains a 3.00 GPA. Selection is based on the academic record and personal qualities that honor the Marquis de Lafayette. No separate application required; all applicants are automatically considered upon admission. An interview is encouraged.",$0,$23.866,By invitation only,"31,5%"
Lake Forest College,https://www.lakeforest.edu,Lake Forest,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$56.402,$12.700,$73.102,24-25,Both,352,"100,0%",$62.462,$8.220,CDS24,$22.0m,No,$34.000,Merit-based award,https://www.lakeforest.edu/admissions/financial-aid/financial-aid-for-international-students,All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is required.,$22.402,$39.102,Automatic consideration,59%
Lake Superior State University,https://www.lssu.edu,Sault Ste Marie,MI,Michigan,Public,Midwest (Great Lakes),,Town: Remote,1K - 9K,Coeducational,No,Professional,Exclusively,On-campus,0-None,$14.852,$11.459,$30.311,24-25,Merit,74,"80,4%",$13.762,$15.520,CDS24,$1.0m,N/A,Full Tuition,Senator Philip A. Hart Memorial Scholarship,https://www.lssu.edu/admissions/financial-aid/scholarships/2022-2023-incoming-freshmen-scholarships/#laker,"The top automatic merit award is the Laker Gold Scholarship, based on GPA. The Hart Scholarship is competitive and requires an additional application after admission.",$0,$15.459,Requires application,"68,1%"
Lamar University,https://www.lamar.edu,Beaumont,TX,Texas,Public,South (Central),"Houston, TX",City: Midsize,10K - 20K,Coeducational,No,Balanced,Majority,On-campus,0-None,$23.194,$10.464,$37.658,24-25,Merit,,,$4.687,,USN25,,N/A,$20.000,Presidential Scholarship,https://www.lamar.edu/financial-aid/scholarships/incoming-freshmen-scholarship.html,This is the highest tier of the Lamar University Academic Scholarship. Consideration is automatic based on high school class rank and SAT/ACT scores.,$3.194,$17.658,By invitation only,85%
Lawrence Technological University,https://www.ltu.edu,Southfield,MI,Michigan,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$44.760,$11.930,$60.690,24-25,Merit,102,"52,6%",$11.182,$46.360,CDS24,$1.7m,N/A,$16.000,Presidential Scholarship,https://www.ltu.edu/financial-aid/scholarships-freshmen,The university's most prestigious scholarship. Selection is by invitation only. Students are selected from the highest-achieving applicants for admission.,$28.760,$44.690,Automatic consideration,80%
Lawrence University,https://www.lawrence.edu,Appleton,WI,Wisconsin,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$56.982,$12.165,$73.147,24-25,Both,161,"100,0%",$40.000,$31.299,CDS24,$6.4m,No,50% tuition,Merit Scholarship,https://www.lawrence.edu/admissions-aid/aid-affordability/scholarships,"All applicants, including international students, are automatically considered for merit-based scholarships with their application for admission.",$28.491,$44.656,Automatic consideration,"63,0%"
Le Moyne College,https://www.lemoyne.edu,Syracuse,NY,New York,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$40.330,$16.210,$60.540,24-25,Both,24,"46,2%",$35.825,$22.805,CDS24,$0.9m,No,,,,,,TBD,-,"75,3%"
Lehigh University,https://www.lehigh.edu,Bethlehem,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,0-None,$64.980,$17.220,$86.200,24-25,Both,157,"35,8%",$64.916,$17.734,CDS24,$10.2m,Yes (Need-aware),Full Tuition,various merit-based scholarships,https://www1.lehigh.edu/admissions/merit-scholarships,"All applicants are automatically considered for Merit Scholarships, such as the Founder's Scholarship and Dean's Scholars. No separate application is needed.",$0,$21.220,Automatic consideration,"25,3%"
LeTourneau University,https://www.letu.edu,Longview,TX,Texas,Private,South (Central),,City: Small,1K - 9K,Coeducational,No,Professional,Very High,On-campus,6-Primarily,$37.160,$11.120,$52.280,24-25,Merit,71,"44,0%",$10.792,$39.278,USN25,$0.8m,N/A,,,,,,,-,41%
Lewis & Clark College,https://www.lclark.edu,Portland,OR,Oregon,Private,West Coast,,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Majority,Off-campus,1-Historically,$64.828,$15.648,$84.476,24-25,Merit,111,"100,0%",$47.204,$34.148,CDS24,$5.2m,No,Full Tuition,Merit-Based Scholarship,https://www.lclark.edu/offices/financial_aid/undergrad/scholarships/merit/,"All applicants are automatically considered for Merit Scholarships based on academic achievement, leadership, and other talents demonstrated in their admission application. No separate application needed.",$0,$19.648,,"74,5%"
Liberty University,https://www.liberty.edu,Lynchburg,VA,Virginia,Private,Southeast,,City: Small,20K+,Coeducational,No,Balanced,Majority,On-campus,6-Primarily,$24.600,$13.588,$42.188,24-25,Both,372,"78,2%",$9.931,$28.210,USN25,$3.7m,,,,,,,,-,99%
Lincoln Memorial University,https://www.lmunet.edu,Harrogate,TN,Tennessee,Private,Southeast,,Town: Distant,5K - 10K,Coeducational,No,Professional,Minority,On-campus,2-Slightly,$26.938,$12.226,$43.164,24-25,Merit,102,"87,1%",$23.778,$18.180,USN25,,N/A,,,,,,,-,59%
Lincoln University Pennsylvania,https://www.lincoln.edu,Lincoln Universit,PA,Pennsylvania,Public,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,Yes,Professional,Very High,On-campus,0-None,$18.464,$11.616,$34.080,24-25,Merit,45,"97,8%",$19.712,$14.732,CDS24,$0.9m,N/A,Full Tuition,International Student Merit Scholarships,https://www.lincoln.edu/admissions/undergraduate/scholarships/index.html,A limited number of merit-based scholarships are available for new international students. Students should indicate interest and apply early. A separate scholarship application is not specified.,$0,$15.616,Automatic consideration,"78,4%"
Lindenwood University,https://www.lindenwood.edu,St. Charles,MO,Missouri,Private,Midwest (Great Plains),,City: Small,5K - 10K,Coeducational,No,Professional,High,On-campus,1-Historically,$21.100,$11.700,$36.800,24-25,Merit,363,"100,0%",$4.000,$31.900,CDS24,$1.5m,N/A,,,,,,TBD,-,"63,8%"
Linfield University,https://www.linfield.edu,McMinnville,OR,Oregon,Private,West Coast,,Town: Distant,1K - 9K,Coeducational,No,Balanced,Exclusively,On-campus,2-Slightly,$50.780,$14.640,$69.420,24-25,Both,8,"100,0%",$24.035,$43.555,CDS24,$0.2m,No,not specified,Merit Scholarship,https://www.linfield.edu/financial-aid/financial-aid-policies/linfield-scholarships.html,All accepted students are Automatically Awardarded a Merit Scholarship based on their academic record. No separate application is required.,,,Automatic consideration,"87,9%"
Lipscomb University,https://www.lipscomb.edu,Nashville,TN,Tennessee,Private,Southeast,,City: Large,5K - 10K,Coeducational,No,Professional,Majority,On-campus,5-Very,$40.572,$15.424,$59.996,24-25,Need,94,"95,9%",$30.236,$27.392,CDS24,$2.8m,No,,,,,,,,"66,7%"
Long Island University - LIU Post,https://www.liu.edu/post,Brookville,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,10K - 20K,Coeducational,No,Professional,Majority,On-campus,0-None,$41.642,$17.354,$62.996,23-24,Pending,No data,,No data,,,,,,,,,,,-,93%
Longwood University,https://www.longwood.edu,Farmville,VA,Virginia,Public,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Balanced,High,On-campus,0-None,$28.076,$17.424,$49.500,24-25,Pending,No data,,No data,,,,N/A,,,,,,,-,85%
Louisiana State University,https://www.lsu.edu,Baton Rouge,LA,Louisiana,Public,Southeast (Deep South),,City: Midsize,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$28.631,$14.296,$46.927,24-25,Merit,88,"21,9%",$13.410,$33.517,CDS24,$1.2m,N/A,Full ride+stipend,President's Alumni Scholars Award,https://www.lsu.edu/financialaid/apply_for_scholarships/apply_for_international_student_scholarships.php,This award is for Louisiana residents. International students are automatically considered for other awards like the Global Leaders Award upon admission.,$0,$2.900,Automatic consideration,"74,0%"
Louisiana Tech University,https://www.latech.edu,Ruston,LA,Louisiana,Public,Southeast (Deep South),,Town: Distant,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$19.668,$9.618,$33.286,24-25,None,,,,,,,N/A,,,,,,,,"57,2%"
Loyola Marymount University,https://www.lmu.edu,Los Angeles,CA,California,Private,West Coast,"Los Angeles, CA",City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,3-Somewhat,$61.862,$20.702,$86.564,24-25,Merit,349,"50,3%",$4.696,$78.506,CDS24,$1.6m,N/A,$30.000,Presidential Scholarship,https://financialaid.lmu.edu/prospectivestudents/scholarships/,Top academic scholarships awarded to a select group of the most accomplished first-year applicants. Consideration is automatic with the admission application. No separate application needed.,$31.862,$56.564,Automatic consideration,"40,3%"
Loyola University Chicago,https://www.luc.edu,Chicago,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",City: Large,10K - 20K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$53.710,$17.010,$74.720,24-25,Both,243,"96,0%",$19.539,$53.071,CDS24,$4.7m,No,$26.000,Regent's Scholarship,https://www.luc.edu/finaid/scholarships/undergraduate/,One of the top merit awards. All first-year applicants are automatically considered based on their admission application. No separate application is needed.,$27.710,$48.720,Automatic consideration,"81,4%"
Loyola University Maryland,https://www.loyola.edu,Baltimore,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,5K - 10K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$57.150,$17.670,$78.820,24-25,Merit,63,"71,6%",$52.036,$25.684,CDS24,$2.1m,N/A,$35.000,Presidential Scholarship,https://www.loyola.edu/department/financial-aid/undergraduate/programs/scholarships,The premier academic scholarship. All applicants for admission are automatically considered. No separate application is required.,$22.150,$43.820,Automatic consideration,"76,3%"
Loyola University New Orleans,https://www.loyno.edu,New Orleans,LA,Louisiana,Private,Southeast (Deep South),,City: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$49.440,$14.910,$68.350,24-25,Merit,105,"94,6%",$27.294,$38.946,CDS24,$2.9m,N/A,$24.000,International Student Scholarships,https://www.loyno.edu/admissions/tuition-financial-aid/scholarships,Admitted international students are automatically considered for merit-based scholarships. No separate application is needed. Awards are based on the strength of the admission application.,$25.440,$44.350,Automatic consideration,88%
Luther College,https://www.luther.edu,Decorah,IA,Iowa,Private,Midwest (Great Plains),,Town: Remote,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$52.120,$11.530,$67.650,24-25,Both,184,"99,0%",$42.606,,USN25,$7.8m,No,$36.000,Founder's Scholarship,https://www.luther.edu/admission-aid/cost-financial-aid/scholarships,One of the highest Merit Scholarships. All students are automatically considered based on their application for admission. No separate application is required.,$16.120,$31.650,Automatic consideration,73%
Lycoming College,https://www.lycoming.edu,Williamsport,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$49.804,$14.612,$68.416,24-25,Merit,24,"93,4%",$37.608,,USN25,$0.9m,N/A,$34.000,Merit Scholarship,https://www.lycoming.edu/financial-aid/scholarship-opportunities.aspx,"All applicants are automatically considered for Merit Scholarships (e.g., President's, Faculty) at the time of admission based on their academic profile. No separate application is required.",$15.804,$34.416,Automatic consideration,68%
Lynn University,https://www.lynn.edu,Boca Raton,FL,Florida,Private,Southeast,"Miami, FL",City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$44.480,$14.330,$62.810,24-25,Merit,365,"95,5%",$21.328,$39.372,CDS24,$7.8m,N/A,$19.000,Merit Scholarships,https://www.lynn.edu/admission/tuition-aid/undergraduate,All students are automatically considered for Merit Scholarships upon admission. The Presidential Scholarship is the highest award. No separate application is required.,$25.480,$43.810,Automatic consideration,74%
Lyon College,https://www.lyon.edu,Batesville,AR,Arkansas,Private,South (Central),,Town: Remote,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,$31.150,$10.750,$45.900,24-25,Pending,No data,,No data,,,,,,,,,,,-,60%
Macalester College,https://www.macalester.edu,St. Paul,MN,Minnesota,Private,Midwest (Great Plains),,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$68.334,$15.760,$88.094,24-25,Both,218,"77,0%",$61.565,$22.820,CDS24,$13.4m,Yes (Need-aware),$23.000,Merit Scholarship,https://www.macalester.edu/financial-aid/about/merit-2/,The DeWitt Wallace Distinguished Scholarship is the premier merit award. All applicants are automatically considered based on their admission application. No separate application required.,$45.334,$65.094,Automatic consideration,28%
Manhattan College,https://www.manhattan.edu,Riverdale,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$52.830,$18.800,$75.630,24-25,Merit,,,,,,,N/A,$32.000,Merit Scholarships,https://manhattan.edu/admissions/undergraduate/requirements/international.php,All international applicants are automatically reviewed for merit-based scholarships upon admission. No separate application is needed.,$20.830,$43.630,Automatic consideration,78%
