University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
Longwood University,Farmville,VA,Virginia,Public,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Balanced,High,On-campus,0-None,$55.000,$28.076,$17.424,$49.500,Pending,No data,,No data,,,N/A,,,,,,,-,85%,80%,15%,-,,-,,78%,Both,,early_admission
Loyola Marymount University,Los Angeles,CA,California,Private,West Coast,"Los Angeles, CA",City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,3-Somewhat,$65.000,$61.862,$20.702,$86.564,Merit,349,50%,$4.696,$78.506,$1.6m,N/A,$30.000,Presidential Scholarship,https://financialaid.lmu.edu/prospectivestudents/scholarships/,Top academic scholarships awarded to a select group of the most accomplished first-year applicants. Consideration is automatic with the admission application. No separate application needed.,$31.862,$56.564,Automatic consideration,"40,3%","6,0%",16%,92%,2800,168,154,"28,4%",Both,Yes,early_admission
Loyola University Maryland,Baltimore,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",City: Large,5K - 10K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$30.000,$57.150,$17.670,$78.820,Merit,63,72%,$52.036,$25.684,$2.1m,N/A,$35.000,Presidential Scholarship,https://www.loyola.edu/department/financial-aid/undergraduate/programs/scholarships,The premier academic scholarship. All applicants for admission are automatically considered. No separate application is required.,$22.150,$43.820,Automatic consideration,"76,3%","34,0%",14%,10%,990,337,34,76%,Both,,early_admission
Loyola University New Orleans,New Orleans,LA,Louisiana,Private,Southeast (Deep South),,City: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,3-Somewhat,$45.000,$49.440,$14.910,$68.350,Merit,105,95%,$27.294,$38.946,$2.9m,N/A,$24.000,International Student Scholarships,https://www.loyno.edu/admissions/tuition-financial-aid/scholarships,Admitted international students are automatically considered for merit-based scholarships. No separate application is needed. Awards are based on the strength of the admission application.,$25.440,$44.350,Automatic consideration,88%,,13%,-,,-,20,88%,Early Action Only,,early_admission
Lycoming College,Williamsport,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$35.000,$49.804,$14.612,$68.416,Merit,24,93%,$37.608,,$0.9m,N/A,$34.000,Merit Scholarship,https://www.lycoming.edu/financial-aid/scholarship-opportunities.aspx,"All applicants are automatically considered for Merit Scholarships (e.g., President's, Faculty) at the time of admission based on their academic profile. No separate application is required.",$15.804,$34.416,Automatic consideration,68%,15%,13%,-,,-,,68%,Both,,early_admission
Lynn University,Boca Raton,FL,Florida,Private,Southeast,"Miami, FL",City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$45.000,$44.480,$14.330,$62.810,Merit,365,96%,$21.328,$39.372,$7.8m,N/A,$19.000,Merit Scholarships,https://www.lynn.edu/admission/tuition-aid/undergraduate,All students are automatically considered for Merit Scholarships upon admission. The Presidential Scholarship is the highest award. No separate application is required.,$25.480,$43.810,Automatic consideration,74%,69%,13%,-,,-,,74%,Early Action Only,,early_admission
Macalester College,St. Paul,MN,Minnesota,Private,Midwest (Great Plains),,City: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$68.334,$15.760,$88.094,Both,218,77%,$61.565,$22.820,$13.4m,Yes (Need-aware),$23.000,Merit Scholarship,https://www.macalester.edu/financial-aid/about/merit-2/,The DeWitt Wallace Distinguished Scholarship is the premier merit award. All applicants are automatically considered based on their admission application. No separate application required.,$45.334,$65.094,Automatic consideration,28%,,23%,-,,-,-,16%,Both,Yes,early_admission
Manhattan College,Riverdale,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,1K - 9K,Coeducational,No,Professional,High,On-campus,3-Somewhat,$45.000,$52.830,$18.800,$75.630,Merit,,,,,,N/A,$32.000,Merit Scholarships,https://manhattan.edu/admissions/undergraduate/requirements/international.php,All international applicants are automatically reviewed for merit-based scholarships upon admission. No separate application is needed.,$20.830,$43.630,Automatic consideration,78%,61%,8%,,,,,78%,Early Decision only,,early_admission
Manhattanville College,Purchase,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$45.000,$44.604,$15.860,$64.464,Both,35,94%,$25.291,,$0.9m,No,$25.000,Chairperson's Scholarship,https://www.mville.edu/admissions-and-aid/financial-aid/types-of-aid.php,The highest merit award offered by the college. All first-year applicants are automatically considered based on their admission application.,$19.604,$39.464,Automatic consideration,85%,29%,10%,-,,-,,85%,Early Action Only,,early_admission
Marist College,Poughkeepsie,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,5K - 10K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$45.000,$47.750,$20.970,$72.720,Both,102,100%,$24.009,$43.711,$2.4m,No,$25.000,Presidential Scholarship,https://www.marist.edu/financial-aid/freshman/types-of-aid/scholarships,The premier Merit Scholarship awarded to the top applicants each year. Consideration is automatic with the application for admission.,$22.750,$47.720,Automatic consideration,65%,54%,19%,-,,-,,50%,Both,,early_admission
Marquette University,Milwaukee,WI,Wisconsin,Private,Midwest (Great Lakes),,City: Large,10K - 20K,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,$5.000,$51.170,$16.490,$71.660,Both,104,99%,$30.179,$38.261,$3.1m,No,Full ride,Global Scholar Program,https://www.marquette.edu/explore/scholarships-global-scholar.php,"This program is no longer offered. International students are considered for other Merit Scholarships, like the Père Marquette Award, automatically upon admission.",$0,$4.000,Requires application,"11,1%","69,4%",14%,5%,559,388,19,87%,Early Action Only,,early_admission
Massachusetts Institute of Technology (MIT),Cambridge,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",City: Midsize,10K - 20K,Coeducational,No,Arts and Sciences,Minority,On-campus,0-None,$0,$62.396,$20.280,$86.676,Need,379,74%,$72.712,$10.834,$27.6m,Yes (Need-blind),,,,,,,,"4,5%",,85%,-,,-,,"3,92%",Early Action Only,,early_admission
McDaniel College,Westminster,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",Town: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$45.000,$52.081,$12.974,$69.055,Both,No data,No data,No data,,,No,$30.000,Merit Scholarships,https://www.mcdaniel.edu/admissions-cost/cost-financial-aid/types-financial-aid/mcdaniel-scholarships,All applicants are automatically considered for Merit Scholarships (highest is the Presidential Scholarship) based on their admission application. No separate application required.,$22.081,$39.055,Automatic consideration,84%,45%,13%,-,,-,,77%,Both,,early_admission
Mercer University,Macon,GA,Georgia,Private,Southeast (Deep South),,City: Midsize,5K - 10K,Coeducational,No,Balanced,Majority,On-campus,1-Historically,$20.000,$42.312,$15.156,$61.468,Merit,90,97%,$35.095,$24.323,$3.2m,N/A,Full Tuition,Stamps Scholarship,https://undergrad.mercer.edu/stamps/,"A prestigious, full-cost-of-attendance scholarship. Requires a separate application after being admitted to Mercer. Finalists are invited for an on-campus interview.",$0,$19.156,By invitation only,"66,5%","41,0%",14%,7%,827,339,25,"44,2%",Early Action Only,,early_admission
Meredith College,Raleigh,NC,North Carolina,Private,Southeast,"Raleigh, NC",City: Large,1K - 9K,Women's,No,Balanced,High,On-campus,1-Historically,$5.000,$45.630,$13.280,$62.910,Merit,48,100%,$39.567,$21.289,,N/A,Full ride+stipend,Meredith Full-Ride Merit Scholarship,https://www.meredith.edu/full-ride-scholarship/,Includes several full-ride scholarships. Requires a separate application and participation in a Scholars Weekend for finalists. Open to high-achieving first-year applicants.,$0,$1.000,Requires application,75%,,,,,,,,Both,,early_admission
Miami University-Ohio,Oxford,OH,Ohio,Public,Midwest (Great Lakes),,Town: Fringe,10K - 20K,Coeducational,No,Professional,Very High,On-campus,0-None,$5.000,$39.298,$16.093,$59.391,Merit,,,$16.790,$42.048,,N/A,Full ride+stipend,Presidential Fellows Program,https://miamioh.edu/onestop/paying-for-college/funding-opportunities/scholarships/international-students/index.html,A premier scholarship and enrichment program. Requires a separate application to the University Honors College. Open to international students. Other Merit Scholarships are awarded automatically.,$0,$3.000,Automatic consideration,82%,36%,14%,-,,-,,82%,Both,,early_admission
Michigan State University,east Lansing,MI,Michigan,Public,Midwest (Great Lakes),,City: Small,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$35.000,$45.178,$11.754,$60.932,Merit,810,38%,$19.000,$40.794,$15.4m,N/A,$25.000,International Tuition Grant,https://admissions.msu.edu/cost-aid/scholarships/international,A need-based grant awarded to a limited number of international undergraduate students. Students must demonstrate financial need. It is not a merit-based scholarship.,$20.178,$35.932,Automatic consideration,84%,,19%,-,,-,,84%,Early Action Only,,early_admission
Middlebury College,Middlebury,VT,Vermont,Private,Northeast (New England),,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$0,$67.600,$19.250,$90.850,Need,181,59%,$69.921,$17.959,$12.7m,Yes (Need-aware),,,,,,,-,10%,,45%,-,,-,-,8%,Early Decision only,Yes,early_admission
Monmouth University,West Long Bran,NJ,New Jersey,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,0-None,$15.000,$46.552,$18.980,$69.532,Merit,63,100%,$51.666,$14.922,,N/A,,,,,,,-,90%,93%,13%,-,,-,,88%,Both,,early_admission
Montclair State University,Montclair,NJ,New Jersey,Public,Northeast (Mid-Atlantic),New York City,Suburb: Large,20K+,Coeducational,No,Balanced,High,On-campus,0-None,$45.000,$26.022,$16.730,$46.752,Merit,77,38%,$2.916,$41.598,$0.2m,N/A,,,,,,TBD,-,"87,4%","75,3%",20%,12%,985,742,86,"84,3%",Early Action Only,,early_admission
Moravian University,Bethlehem,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,1K - 9K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$30.000,$53.500,$15.812,$73.312,Both,6,75%,$44.811,$26.540,$0.3m,No,$34.000,Merit Scholarships,https://www.moravian.edu/admissions/merit-scholarships,All applicants are automatically considered for Merit Scholarships upon admission. The Comenius Scholarship is the highest award. No separate application is required.,$19.500,$39.312,Automatic consideration,54%,"2,3%",19%,3%,1598,37,1,54%,Early Action Only,,early_admission
Morehead State University,Morehead,KY,Kentucky,Public,Southeast,,Town: Remote,5K - 10K,Coeducational,No,Balanced,Very High,On-campus,0-None,$15.000,$14.980,$10.994,$29.974,Merit,59,86%,$15.213,$12.435,$0.9m,N/A,,,,,,TBD,-,"82,1%","64,2%",17%,5%,1327,852,41,82%,Early Decision only,,early_admission
Morehouse College,Atlanta,GA,Georgia,Private,Southeast (Deep South),,City: Large,1K - 9K,Men's,Yes,Arts and Sciences,Exclusively,On-campus,1-Historically,$55.000,$32.893,$14.778,$51.671,Merit,,,,$50.331,,N/A,,,,,,TBD,-,52%,7%,24%,-,,-,,43%,Both,,early_admission
Mount Holyoke College,South Hadley,MA,Massachusetts,Private,Northeast (New England),,Suburb: Large,1K - 9K,Women's,No,Arts and Sciences,Very High,On-campus,1-Historically,$0,$67.018,$19.684,$90.702,Both,264,54%,$52.109,$34.871,$13.8m,Yes (Need-aware),Full Tuition,Trustee Scholarship,https://www.mtholyoke.edu/admission/apply-undergraduate-first-year/affording-mount-holyoke/financial-aid/types-financial-aid/non-need-based-scholarships-and-awards,A premier merit-based scholarship. All applicants for admission are automatically considered. No separate application is required.,$0,$23.684,Automatic consideration,"38,3%","17,8%",30%,49%,1621,289,143,"36,5%",Early Decision only,Yes,early_admission
Mount St. Mary's University,Emmitsburg,MD,Maryland,Private,Northeast (Mid-Atlantic),"Washington, DC",Rural: Distant,1K - 9K,Coeducational,No,Balanced,High,On-campus,4-Moderately,$75.000,$48.630,$15.050,$67.680,Both,No data,No data,No data,,,No,,,,,,TBD,-,"71,9%","19,3%",12%,24%,497,96,23,72%,Early Action Only,,early_admission
Muhlenberg College,Allentown,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,$45.000,$62.805,$14.548,$81.353,Both,22,96%,$41.679,$36.516,$0.9m,No,$40.000,Henry Melchior Muhlenberg Scholarship,https://www.muhlenberg.edu/admissions/applyingasaninternationalstudent/financialaidforinternationalstudents/,One of the top Merit Scholarships awarded to a select group of accepted students. Consideration is automatic with the admission application. No separate application is required.,$22.805,$41.353,Automatic consideration,"64,0%","16,0%",15%,9%,344,55,5,64%,Both,,early_admission
New College of Florida,Sarasota,FL,Florida,Public,Southeast,,City: Small,<1K,Coeducational,No,Arts and Sciences,Very High,Off-campus,0-None,$35.000,$29.944,$13.825,$47.769,Merit,27,86%,$17.350,$30.399,$0.5m,N/A,$13.000,First-year scholarship and Four Winds Award,https://www.ncf.edu/admissions/international-students/scholarships/,All international applicants are automatically considered for Merit Scholarships. The Four Winds Award is a need-based grant for which students must submit a separate CSS Profile.,$16.944,$34.769,Automatic consideration,"74,0%",71%,14%,,,,,75%,Early Action Only,,early_admission
New Jersey Institute of Technology (NJIT),Newark,NJ,New Jersey,Public,Northeast (Mid-Atlantic),New York City,City: Large,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$20.000,$35.912,$15.000,$54.912,Merit,466,100%,$26.460,$28.474,$12.3m,N/A,Full Tuition,Honors Merit Award,https://www.njit.edu/financialaid/merit-based-scholarships,This award is for students admitted into the Albert Dorman Honors College. Requires a separate application to the Honors College. All admitted students are automatically considered for general Merit Scholarships.,$0,$19.000,Requires application,"66,9%","34,4%",19%,13%,1402,482,63,67%,Early Action Only,,early_admission
New York University (NYU),New York,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,20K+,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$0,$62.796,$24.652,$91.448,Need,406,5%,$36.706,$50.518,$14.9m,Yes (Need-aware),,,,,,,,"8,0%",8%,54%,-,,-,-,9%,Early Decision only,Yes,early_admission
North Carolina A&T,Greensboro,NC,North Carolina,Public,Southeast,"Raleigh, NC",City: Large,10K - 20K,Coeducational,Yes,Professional,High,On-campus,0-None,$20.000,$20.243,$8.397,$32.640,Merit,39,64%,$16.535,$16.705,$0.6m,N/A,not specified,Departmental,https://www.ncat.edu/admissions/financial-aid/types-of-aid/scholarships/international-student-scholarships.php,Scholarships for international students are limited and competitive. Students should contact the specific academic department of their intended major to inquire about any available scholarships.,,,Requires application,46%,66%,19%,-,,-,,46%,Early Action Only,,early_admission
North Carolina State University-Raleigh,Raleigh,NC,North Carolina,Public,Southeast,"Raleigh, NC",City: Large,20K+,Coeducational,No,Professional,High,On-campus,0-None,$5.000,$33.034,$14.332,$51.366,Limited,166,27%,$21.905,$27.581,$3.6m,N/A,Full ride+stipend,Park Scholarships,https://park.ncsu.edu/about/,"A comprehensive four-year scholarship program. Requires a separate, extensive application process. Focuses on scholarship, leadership, service, and character. Open to prospective U.S. citizens, residents, and international students.",$0,$3.000,Requires application,"41,7%","28,4%",35%,17%,2060,586,102,"37,8%",Early Action Only,,early_admission
