;;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;Deadlines Information;App Fees²;App Fees²;Common App;Common App;Supplements;Supplements;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Minimum Standard Test Policy⁷;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸;Recommendations⁸
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Western Oregon University;Coed;;;3/1/2025;;;Rolling;0;0;;;;;F;None;See Website;;;;;Y
Western Washington University;Coed;;;11/1/2024;;;1/31/2025;70;70;;;;;N;See Website;See Website;;;;;
Westfield State University;Coed;;;11/15/2024;;;3/1/2025;0;50;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;
Westlake University;Coed;;;11/1/2024;1/1/2025;;4/1/2025;75;75;Yes;;;;F;SAT with Essay or ACT with Essay;I or T;2;;Y;Y;Y
Westminster College (Missouri);Coed;;;;;;Rolling;0;0;;;;;F;None;See Website;;;;;
Westminster College (Pennsylvania);Coed;11/1/2024;;11/15/2024;;;Rolling;0;0;;;;;S;See Website;See Website;;;;;
Westminster University (Utah);Coed;;;12/2/2024;;;2/3/2025;0;0;;;;;N;None;See Website;;;;;
Westmont College;Coed;;;10/15/2024;11/1/2024;;1/15/2025;0;0;;;;;N;See Website;I or T;1;;Y;;Y
Wheaton College (IL);Coed;;;10/15/2024;11/15/2024;;2/15/2025;0;0;;;;;S;SAT without Essay or ACT without Essay;;1;;;;Y
Wheaton College, Massachusetts;Coed;11/15/2024;1/15/2025;11/15/2024;;;2025-01-15;0;0;Yes;;SR;;N;None;C or D or I or T;1;;Y;;Y
Wheeling University;Coed;;;;;;Rolling;0;0;;;;Yes;N;SAT without Essay or ACT without Essay;I or T;;;;;Y
Whitman College;Coed;11/15/2024;1/10/2025;;;;2025-01-15;50;50;Yes;;;;N;See Website;;;;Y;;Y
Whittier College;Coed;;;11/15/2024;;;Rolling;0;0;Yes;;;;N;None;C or D or I or T;1;;;Y;Y
Whitworth University;Coed;;;11/15/2024;1/15/2025;;2025-03-01;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Wichita State University;Coed;;;;;;Rolling;40;75;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Wilberforce University;Coed;;;;;;Rolling;25;50;;;;;F;SAT without Essay or ACT without Essay;I or T;;;;;
Wilkes Honors College of FAU;Coed;;;11/1/2024;;;Rolling;30;30;;;;;A;SAT without Essay or ACT without Essay;See Website;;;;;Y
Wilkes University;Coed;;;12/14/2024;;;Rolling;0;0;;;;;N;None;See Website;;;;;Y
Willamette University;Coed;11/1/2024;;1/15/2025;;;2025-03-15;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;;;;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
William & Mary;Coed;11/1/2024;1/5/2025;;;;2025-01-05;75;75;Yes;;SR;;N;SAT without Essay or ACT without Essay;;;;Y;Y;
William Jewell College;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;Y
William Paterson University of NJ;Coed;;;12/1/2024;;;Rolling;50;50;;;;;N;None;See Website;;;;;
William Peace University;Coed;;;;;;Rolling;50;50;;;;;N;None;See Website;;;;;
William Woods University;Coed;;;;;;Rolling;0;0;;;;;N;SAT without Essay or ACT without Essay;See Website;;;Y;;Y
Williams College;Coed;11/15/2024;;;;;1/6/2025;65;65;Yes;;SR;Yes;N;None;See Website;2;;Y;Y;Y
Wilson College;Coed;;;;;;Rolling;0;0;;;;;S;See Website;;;;;;Y
Wingate University;Coed;;;;;;Rolling;0;0;;;;;N;None;See Website;;;;;
Winston-Salem State University;Coed;;;;;;7/26/2025;50;50;;;;;S;SAT without Essay or ACT without Essay;I or T;;;;;
Winthrop University;Coed;;;;;;Rolling;0;0;;;;;S;SAT without Essay or ACT without Essay;See Website;;;;;Y
Wisconsin Lutheran College;Coed;;;;;;Rolling;0;0;;;;;F;SAT without Essay or ACT without Essay;I or T;;;;;Y
Wittenberg University;Coed;11/1/2024;;12/1/2024;;;Rolling;0;0;;;;;F;See Website;;;;;;Y
Wofford College;Coed;11/1/2024;1/15/2025;11/15/2024;;;1/15/2025;0;0;Yes;;;;N;SAT without Essay or ACT without Essay;See Website;;;;;Y
Woodbury University;Coed;;;3/1/2025;;;Rolling;88;88;;;;;N;None;See Website;;;;;
Worcester Polytechnic Institute;Coed;11/1/2024;1/5/2025;11/1/2024;1/5/2025;;45689;0;0;Yes;;;;N;None;See Website;1;;Y;Y;Y
Worcester State University;Coed;;;11/15/2024;;;3/1/2025;50;50;;;;;N;None;I or T or P;;;Y;;
Wright State University;Coed;;;;;;Rolling;0;30;;;;;N;None;See Website;;;;;Y
Xavier University;Coed;;;11/1/2024;;;45689;0;0;Yes;;;;S;SAT without Essay or ACT without Essay;;;;;Y;Y
Xavier University of Louisiana;Coed;;;;;;Rolling;0;0;;Yes;;;S;SAT with Essay or ACT with Essay;I or T;;;;Y;Y
;;Deadlines;;;;;;App Fees²;;Common App;;Supplements⁶;;Minimum Standard Test Policy⁷;;;Recommendations⁸;;;;
Common App Member;School Type ¹;ED;EDII;EA;EAII;REA;RD/ Rolling;US;INTL;Personal Essay Req'd³;C&G⁴;Portfolio⁵;Writing;Test Policy;SAT/ACT Tests Used;INTL;TE;OE;MR;CR;Saves Forms
Yale University;Coed;;;;;11/1/2024;45659;80;80;Yes;;;;F;See Website;See Website;2;;Y;Y;Y
York College of Pennsylvania;Coed;11/1/2024;;;;;Rolling;0;0;;;;Yes;N;SAT without Essay or ACT without Essay;;;;;;Y
Youngstown State University;Coordinate;;;;;;Rolling;45;75;;;;;F;See Website;See Website;;;;;
Zaytuna College;Coed;;;2024-10-31;;;2025-01-31;50;50;;;;;N;See Website;See Website;3;;Y;;Y
;;;;;;;;;;;;;;;;;;;;;
Transfer Applicants: The information on this grid is for first-year applicants only. To see which institutions accept the Common Application for Transfers, and what their specific requirements are, please consult www.commonapp.org.;;;;;;;;;;;;;;;;;;;;;
1. Coed indicates a coeducational college, Women indicates a women's college, Men indicates a men's college, and Coordinate indicates two “coordinate” single-sex colleges geographically adjacent to each other that share an admission process, courses, faculty, etc.;;;;;;;;;;;;;;;;;;;;;
2. Some colleges charge different fees for students from the U.S. and international applicants. Please consult the institution’s website for more specific instructions.;;;;;;;;;;;;;;;;;;;;;
3. Common App Personal Essay (PE): The Common Application Personal Essay may be submitted to any college. This column indicates whether the college requires the Personal Essay.;;;;;;;;;;;;;;;;;;;;;
4. Courses & Grades (C&G): Some colleges require that you self-report your course history and grades with your application submission. This column indicates whether the college requires the self reported courses and grades.;;;;;;;;;;;;;;;;;;;;;
5. Supplements, Portfolio: SR indicates that the college collects online portfolios using SlideRoom, which is integrated with the Common Application. COL indicates that the college uses their own system to collect online portfolios.     If the college does not collect portfolios, the field is blank.;;;;;;;;;;;;;;;;;;;;;
6. Supplements, Writing: Indicates if the college requires a writing supplement.;;;;;;;;;;;;;;;;;;;;;
"7. Minimum Standard Test Policy Key: (SAT/ACT Tests Used) Tests required/used by the institution (Test Policy);";;;;;;;;;;;;;;;;;;;;;
A: Tests Always Required, F: Test Flexible, I: Tests Ignored, N: Tests Never Required, S: Tests Sometimes Required.;;;;;;;;;;;;;;;;;;;;;
"This testing policy applies to US citizens/permanent residents, of traditional college age, applying for full-time, degree-seeking status.
Testing policy may vary for applicants who are transfers, non-US citizens/permanent residents, non-traditional age, or home-schooled. Please contact colleges directly to obtain more information about required testing for non-traditional undergraduate college students.";;;;;;;;;;;;;;;;;;;;;
(INTL) If you are an international student and English is not your first or primary language, institutions require that you take one of the English proficiency exams listed. C: Cambridge English, D: Duolingo English Test, I: IELTS, P: PTE Academic Test, T: TOEFL, N: None to report;;;;;;;;;;;;;;;;;;;;;
"* = ""See Website"" indicates that this institution's testing requirements are too complex to be described in the space provided.";;;;;;;;;;;;;;;;;;;;;
"8. Recommendations Key: (TE) number of Teacher Evaluations required, (OE) number of Other Evaluations required, (MR) is Mid Year Report required, (CR) is Counselor Recommendation required.
[For those counselors submitting recommendations online, please note that all institutions now require the School Report and Final Report forms. For those counselors submitting in the paper format, please consult each institution’s website for school form requirements.]
Colleges that save recommendations post-matriculation are indicated by a “Y” in the last column.";;;;;;;;;;;;;;;;;;;;;
